kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
床,7,8,1175,2,"Bed, Counter For Beds, Floor, Padding, Tatami",しょう,"とこ, ゆか"
括,9,8,1026,1,"Fasten, Tie Up, Arrest, Constrict",かつ,くく.る
弧,9,8,2371,1,"Arc, Arch, Bow",こ,
挑,9,8,989,1,"Challenge, Contend For, Make Love To",ちょう,いど.む
掘,11,8,1257,2,"Dig, Delve, Excavate",くつ,ほ.る
揚,12,8,1316,1,"Raise, Elevate, Hoist, Praise, Extol, Fry In Deep Fat",よう,"あ.げる, -あ.げ, あ.がる"
握,12,8,1003,1,"Grip, Hold, Mould Sushi, Bribe",あく,にぎ.る
揺,12,8,1079,1,"Swing, Shake, Sway, Rock, Tremble, Vibrate",よう,"ゆ.れる, ゆ.る, ゆ.らぐ, ゆ.るぐ, ゆ.する, ゆ.さぶる, ゆ.すぶる, うご.く"
斎,11,8,1155,1,"Purification, Buddhist Food, Room, Worship, Avoid, Alike",さい,"とき, つつし.む, ものいみ, い.む, いわ.う, いつ.く"
暫,15,8,1112,1,"Temporarily, A While, Moment, Long Time",ざん,しばら.く
析,8,8,980,1,"Chop, Divide, Tear, Analyze",せき,
枢,8,8,1791,1,"Hinge, Pivot, Door","すう, しゅ","とぼそ, からくり"
軸,12,8,1261,1,"Axis, Pivot, Stem, Stalk, Counter For Book Scrolls",じく,
柄,9,8,1140,1,"Design, Pattern, Build, Nature, Character, Handle, Crank, Grip, Knob, Shaft",へい,"がら, え, つか"
泊,8,8,1233,2,"Overnight Stay, Put Up At, Ride At Anchor",はく,"と.まる, と.める"
滑,13,8,1238,1,"Slippery, Slide, Slip, Flunk","かつ, こつ","すべ.る, なめ.らか"
潟,15,8,1204,1,Lagoon,せき,"かた, -がた"
焦,12,8,973,1,"Char, Hurry, Impatient, Irritate, Burn, Scorch, Singe",しょう,"こ.げる, こ.がす, こ.がれる, あせ.る"
範,15,8,1088,1,"Pattern, Example, Model",はん,
紛,10,8,994,1,"Distract, Be Mistaken For, Go Astray, Divert",ふん,"まぎ.れる, -まぎ.れ, まぎ.らす, まぎ.らわす, まぎ.らわしい"
糾,9,8,1820,1,"Twist, Ask, Investigate, Verify",きゅう,ただ.す
綱,14,8,1053,1,"Hawser, Class (genus), Rope, Cord, Cable",こう,つな
網,14,8,1194,1,"Netting, Network",もう,あみ
肝,7,8,1118,1,"Liver, Pluck, Nerve, Chutzpah",かん,きも
芝,6,8,1052,1,"Turf, Lawn",し,しば
荒,9,8,1099,2,"Laid Waste, Rough, Rude, Wild",こう,"あら.い, あら-, あ.れる, あ.らす, -あ.らし, すさ.む"
袋,11,8,1125,2,"Sack, Bag, Pouch","たい, だい",ふくろ
誰,15,8,1933,0,"Who, Someone, Somebody",すい,"だれ, たれ, た"
珍,9,8,1330,2,"Rare, Curious, Strange",ちん,"めずら.しい, たから"
裂,12,8,1041,1,"Split, Rend, Tear",れつ,"さ.く, さ.ける, -ぎ.れ"
襲,22,8,1130,1,"Attack, Advance On, Succeed To, Pile, Heap",しゅう,"おそ.う, かさ.ね"
貢,10,8,956,1,"Tribute, Support, Finance","こう, く",みつ.ぐ
趣,15,8,1153,1,"Purport, Gist, Elegance, Interest, Proceed To, Tend, Become",しゅ,"おもむき, おもむ.く"
距,12,8,1191,1,"Long-distance, Spur, Fetlock",きょ,"へだ.たる, けづめ"
籍,20,8,907,2,"Enroll, Domiciliary Register, Membership",せき,
露,21,8,928,1,"Dew, Tears, Expose, Russia","ろ, ろう",つゆ
牧,8,4,1360,1,"Breed, Care For, Shepherd, Feed, Pasture",ぼく,まき
刷,8,4,1352,2,"Printing, Print, Brush",さつ,"す.る, -ず.り, -ずり, は.く"
朗,10,6,1374,1,"Melodious, Clear, Bright, Serene, Cheerful",ろう,"ほが.らか, あき.らか"
潮,15,6,1231,1,"Tide, Salt Water, Opportunity",ちょう,"しお, うしお"
即,7,8,1167,1,"Instant, Namely, As Is, Conform, Agree, Adapt",そく,"つ.く, つ.ける, すなわ.ち"
垣,9,8,1539,1,"Hedge, Fence, Wall",えん,かき
威,9,8,1103,1,"Intimidate, Dignity, Majesty, Menace, Threaten",い,"おど.す, おど.し, おど.かす"
封,9,8,1143,2,"Seal, Closing","ふう, ほう",
筒,12,8,1631,2,"Cylinder, Pipe, Tube, Gun Barrel, Sleeve",とう,つつ
岳,8,8,1334,1,"Point, Peak, Mountain",がく,たけ
慰,15,8,1158,1,"Consolation, Amusement, Seduce, Cheer, Make Sport Of, Comfort, Console",い,"なぐさ.める, なぐさ.む"
懇,17,8,1135,1,"Sociable, Kind, Courteous, Hospitable, Cordial",こん,ねんご.ろ
懲,18,8,1303,1,"Penal, Chastise, Punish, Discipline",ちょう,"こ.りる, こ.らす, こ.らしめる"
摩,15,8,1252,1,"Chafe, Rub, Polish, Grind, Scrape",ま,"ま.する, さす.る, す.る"
擦,17,8,1485,1,"Grate, Rub, Scratch, Scrape, Chafe, Scour",さつ,"す.る, す.れる, -ず.れ, こす.る, こす.れる"
撲,15,8,1283,1,"Slap, Strike, Hit, Beat, Tell, Speak",ぼく,
斉,8,8,1209,1,"Adjusted, Alike, Equal, Similar Variety Of","せい, さい","そろ.う, ひと.しい, ひと.しく, あたる, はやい"
旨,6,8,1166,1,"Delicious, Relish, Show A Liking For, Purport, Will, Clever, Expert",し,"むね, うま.い"
柔,9,8,1187,2,"Tender, Weakness, Gentleness, Softness","じゅう, にゅう","やわ.らか, やわ.らかい, やわ, やわ.ら"
沈,7,8,1271,2,"Sink, Be Submerged, Subside, Be Depressed, Aloes","ちん, じん","しず.む, しず.める"
沼,8,8,1467,1,"Marsh, Lake, Bog, Swamp, Pond",しょう,ぬま
泰,10,8,1281,1,"Peaceful, Calm, Peace, Easy, Thailand, Extreme, Excessive, Great",たい,
滅,13,8,1222,1,"Destroy, Ruin, Overthrow, Perish",めつ,"ほろ.びる, ほろ.ぶ, ほろ.ぼす"
滋,12,8,1563,1,"Nourishing, More & More, Be Luxuriant, Planting, Turbidity","じ, し",
炉,8,8,1359,1,"Hearth, Furnace, Kiln, Reactor",ろ,いろり
琴,12,8,1591,1,"Harp, Koto","きん, ごん",こと
寸,3,6,1669,1,"Measurement, Tenth Of A Shaku, A Little, Small",すん,
竜,10,8,1195,1,"Dragon, Imperial","りゅう, りょう, ろう","たつ, いせ"
縁,15,8,1291,1,"Affinity, Relation, Connection, Edge, Border, Verge, Brink","えん, -ねん","ふち, ふちど.る, ゆかり, よすが, へり, えにし"
翼,17,8,1201,1,"Wing, Plane, Flank",よく,つばさ
吉,6,8,711,1,"Good Luck, Joy, Congratulations","きち, きつ",よし
刃,3,8,1763,1,"Blade, Sword, Edge","じん, にん","は, やいば, き.る"
忍,7,8,1700,1,"Endure, Bear, Put Up With, Conceal, Secrete, Spy, Sneak",にん,"しの.ぶ, しの.ばせる"
桃,10,8,1784,1,Peach,とう,もも
辛,7,8,1607,2,"Spicy, Bitter, Hot, Acrid",しん,"から.い, つら.い, -づら.い, かのと"
謎,16,8,2021,0,"Riddle, Puzzle, Enigma, Hint, Tip","めい, べい",なぞ
侍,8,8,1939,1,"Waiter, Samurai, Wait Upon, Serve","じ, し","さむらい, はべ.る"
俺,10,8,1946,0,"I, Myself",えん,"おれ, われ"
叱,5,8,2255,0,"Scold, Reprove","しつ, しち",しか.る
娯,10,8,1827,1,"Recreation, Pleasure",ご,
斗,4,8,1885,1,"Big Dipper, Ten Sho (vol), Sake Dipper, Dots And Cross Radical (no. 68)","と, とう",
朱,6,8,1788,1,"Vermilion, Cinnabar, Scarlet, Red, Bloody",しゅ,あけ
丘,5,8,1405,1,"Hill, Knoll",きゅう,おか
梨,11,8,1331,1,Pear Tree,り,なし
僕,14,8,1236,1,"Me, I (male), Servant, Manservant",ぼく,しもべ
匹,4,8,1384,2,"Equal, Head, Counter For Small Animals, Roll Of Cloth",ひつ,ひき
叫,6,8,1426,2,"Shout, Exclaim, Yell",きょう,さけ.ぶ
釣,11,8,1542,1,"Angling, Fish, Catch, Allure, Ensnare",ちょう,"つ.る, つ.り, つ.り-"
髪,14,8,1474,3,Hair Of The Head,はつ,かみ
嵐,12,8,1910,1,"Storm, Tempest",らん,あらし
笠,11,9,1499,0,"Bamboo Hat, One's Influence",りゅう,かさ
涙,10,8,1381,2,"Tears, Sympathy","るい, れい",なみだ
缶,6,8,1543,2,"Tin Can, Container, Jar Radical (no. 121)",かん,かま
姫,10,8,1566,1,Princess,き,"ひめ, ひめ-"
棚,12,8,1594,1,"Shelf, Ledge, Rack, Mount, Mantle, Trellis",ほう,"たな, -だな"
粒,11,8,1635,2,"Grains, Drop, Counter For Tiny Particles",りゅう,つぶ
砲,10,8,1268,1,"Cannon, Gun",ほう,
雷,13,8,1491,1,"Thunder, Lightning Bolt",らい,"かみなり, いかずち, いかづち"
芽,8,4,1691,1,"Bud, Sprout, Spear, Germ",が,め
塔,12,8,1708,2,"Pagoda, Tower, Steeple",とう,
澄,15,8,1722,1,"Lucidity, Be Clear, Clear, Clarify, Settle, Strain, Look Grave",ちょう,"す.む, す.ます, -す.ます"
矛,5,8,1538,1,"Halberd, Arms, Festival Float","む, ぼう",ほこ
肌,6,8,1559,2,"Texture, Skin, Body, Grain",き,はだ
舟,6,8,1786,2,"Boat, Ship",しゅう,"ふね, ふな-, -ぶね"
鐘,20,8,1681,1,"Bell, Gong, Chimes",しょう,かね
凶,4,8,1673,1,"Villain, Evil, Bad Luck, Disaster",きょう,
塊,13,8,1800,1,"Clod, Lump, Chunk, Clot, Mass","かい, け","かたまり, つちくれ"
狩,9,8,1785,1,"Hunt, Raid, Gather",しゅ,"か.る, か.り, -が.り"
頃,11,8,2015,0,"Time, About, Toward","けい, きょう","ころ, ごろ, しばら.く"
魂,14,8,1748,1,"Soul, Spirit",こん,"たましい, たま"
脚,11,8,1228,1,"Skids, Leg, Undercarriage, Lower Part, Base","きゃく, きゃ, かく",あし
也,3,9,1404,1,To Be (classical),"や, え","なり, か, また"
井,4,8,339,1,"Well, Well Crib, Town, Community","せい, しょう",い
呪,8,8,2131,0,"Spell, Curse, Charm, Malediction","じゅ, しゅ, しゅう, ず","まじな.う, のろ.い, まじな.い, のろ.う"
嬢,16,8,2059,1,"Lass, Girl, Miss, Daughter",じょう,むすめ
暦,14,8,1765,1,"Calendar, Almanac","れき, りゃく",こよみ
曇,16,8,1899,2,"Cloudy Weather, Cloud Up",どん,くも.る
眺,11,8,1726,1,"Stare, Watch, Look At, See, Scrutinize",ちょう,なが.める
裸,13,8,1796,1,"Naked, Nude, Uncovered, Partially Clothed",ら,はだか
賭,15,8,1989,0,"Gamble, Wager, Bet",と,"か.ける, かけ"
疲,10,8,1263,3,"Exhausted, Tire, Weary",ひ,"つか.れる, -づか.れ, つか.らす"
塾,14,8,1297,1,"Cram School, Private School",じゅく,
卓,8,8,1348,1,"Eminent, Table, Desk, High",たく,
磨,16,8,1608,2,"Grind, Polish, Scour, Improve, Brush (teeth)",ま,"みが.く, す.る"
菌,11,8,1586,1,"Germ, Fungus, Bacteria",きん,
陰,11,8,1393,1,"Shade, Yin, Negative, Sex Organs, Secret, Shadow",いん,"かげ, かげ.る"
霊,15,8,1458,1,"Spirits, Soul","れい, りょう",たま
湿,12,8,1517,2,"Damp, Wet, Moist","しつ, しゅう","しめ.る, しめ.す, うるお.う, うるお.す"
硬,12,8,1101,2,"Stiff, Hard",こう,かた.い
稼,15,8,1264,1,"Earnings, Work, Earn Money",か,かせ.ぐ
嫁,13,8,1581,1,"Marry Into, Bride",か,"よめ, とつ.ぐ, い.く, ゆ.く"
溝,13,8,1736,1,"Gutter, Ditch, Sewer, Drain, 10**32",こう,みぞ
滝,13,8,1478,1,"Waterfall, Rapids, Cascade","ろう, そう",たき
狂,7,8,1425,1,"Lunatic, Insane, Crazy, Confuse",きょう,"くる.う, くる.おしい, くるお.しい"
翔,12,9,1936,1,"Soar, Fly",しょう,"かけ.る, と.ぶ"
墨,14,8,1616,1,"Black Ink, India Ink, Ink Stick, Mexico",ぼく,すみ
鳩,13,9,1637,1,"Pigeon, Dove","きゅう, く","はと, あつ.める"
穏,16,8,1535,1,"Calm, Quiet, Moderation",おん,おだ.やか
鈍,12,8,1574,2,"Dull, Slow, Foolish, Blunt",どん,"にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら"
魔,21,8,1514,1,"Witch, Demon, Evil Spirit",ま,
寮,15,8,1705,1,"Dormitory, Hostel, Villa, Tea Pavillion",りょう,
盆,9,8,1654,1,"Basin, Lantern Festival, Tray",ぼん,
棟,12,8,1406,1,"Ridgepole, Ridge",とう,"むね, むな-"
吾,7,9,1828,0,"I, My, Our, One's Own",ご,"われ, わが-, あ-"
斬,11,8,2132,0,"Beheading, Kill, Murder","ざん, さん, せん, ぜん",き.る
寧,14,8,1697,1,"Rather, Preferably, Peaceful, Quiet, Tranquility",ねい,むし.ろ
椅,12,8,2245,0,Chair,い,
歳,13,8,269,3,"Year-end, Age, Occasion, Opportunity","さい, せい","とし, とせ, よわい"
涼,11,8,1783,2,"Refreshing, Nice And Cool",りょう,"すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに"
猿,13,8,1772,1,Monkey,えん,さる
瞳,17,8,2069,1,Pupil (of Eye),"どう, とう",ひとみ
鍵,17,8,2029,0,Key,けん,かぎ
零,13,8,1217,2,"Zero, Spill, Overflow, Nothing, Cipher",れい,"ぜろ, こぼ.す, こぼ.れる"
碁,13,8,1609,1,Go,ご,
租,10,8,2089,1,"Tariff, Crop Tax, Borrowing",そ,
幽,9,8,1996,1,"Seclude, Confine To A Room, Deep, Profound, Secluded, Faint, Dark, Tranquil, Calm",ゆう,"ふか.い, かす.か, くら.い, しろ.い"
泡,8,8,1872,1,"Bubbles, Foam, Suds, Froth",ほう,あわ
癖,18,8,1973,1,"Mannerism, Habit, Vice, Trait, Fault, Kink",へき,"くせ, くせ.に"
鍛,17,8,1793,1,"Forge, Discipline, Train",たん,きた.える
錬,16,8,2221,1,"Tempering, Refine, Drill, Train, Polish",れん,ね.る
穂,15,8,1656,1,"Ear, Ear (grain), Head, Crest (wave)",すい,ほ
帝,9,8,1276,1,"Sovereign, The Emperor, God, Creator",てい,みかど
瞬,18,8,1265,1,"Wink, Blink, Twinkle",しゅん,"またた.く, まじろ.ぐ"
菊,11,8,1287,1,Chrysanthemum,きく,
誇,13,8,1272,1,"Boast, Be Proud, Pride, Triumphantly",こ,ほこ.る
庄,6,9,1693,1,"Level, In The Country, Manor, Village, Hamlet","しょう, そ, そう, ほう",
阻,8,8,1280,1,"Thwart, Separate From, Prevent, Obstruct, Deter, Impede",そ,はば.む
黙,15,8,1338,1,"Silence, Become Silent, Stop Speaking, Leave As Is","もく, ぼく","だま.る, もだ.す"
俵,10,5,1481,1,"Bag, Bale, Sack, Counter For Bags",ひょう,たわら
綿,14,5,1495,2,Cotton,めん,わた
架,9,8,1555,1,"Erect, Frame, Mount, Support, Shelf, Construct",か,"か.ける, か.かる"
砕,9,8,1579,1,"Smash, Break, Crush, Familiar, Popular",さい,"くだ.く, くだ.ける"
粘,11,8,1410,1,"Sticky, Glutinous, Greasy, Persevere",ねん,ねば.る
粧,12,8,1545,0,"Cosmetics, Adorn (one's Person)",しょう,
欺,12,8,1541,1,"Deceit, Cheat, Delude",ぎ,あざむ.く
詐,12,8,1511,1,"Lie, Falsehood, Deceive, Pretend",さ,いつわ.る
霧,19,8,1747,1,"Fog, Mist","む, ぼう, ぶ",きり
柳,9,8,1169,1,Willow,りゅう,やなぎ
伊,6,9,703,1,"Italy, That One",い,かれ
佐,7,8,474,1,"Assistant, Help",さ,
尺,4,6,1940,1,"Shaku, Japanese Foot, Measure, Scale, Rule",しゃく,
哀,9,8,1715,1,"Pathetic, Grief, Sorrow, Pathos, Pity, Sympathize",あい,"あわ.れ, あわ.れむ, かな.しい"
唇,10,8,1992,1,Lips,しん,くちびる
塀,12,8,1991,1,"Fence, Wall, (kokuji)","へい, べい",
墜,15,8,1466,1,"Crash, Fall (down)",つい,"お.ちる, お.つ"
如,6,8,1704,1,"Likeness, Like, Such As, As If, Better, Best, Equal","じょ, にょ",ごと.し
婆,11,8,2435,1,"Old Woman, Grandma, Wet Nurse",ば,"ばば, ばあ"
崖,11,8,0,0,"Cliff, Bluff, Precipice","がい, げ, ぎ","がけ, きし, はて"
帽,12,8,1742,2,"Cap, Headgear","ぼう, もう","ずきん, おお.う"
幣,15,8,1803,1,"Cash, Bad Habit, Humble Prefix, Gift, Shinto Offerings Of Cloth, Rope, Cut Paper",へい,ぬさ
恨,9,8,1877,1,"Regret, Bear A Grudge, Resentment, Malice, Hatred",こん,"うら.む, うら.めしい"
憎,14,8,1808,2,"Hate, Detest",ぞう,"にく.む, にく.い, にく.らしい, にく.しみ"
憩,16,8,1731,1,"Recess, Rest, Relax, Repose",けい,"いこ.い, いこ.う"
扇,10,8,1805,1,"Fan, Folding Fan",せん,おうぎ
扉,12,8,1866,1,"Front Door, Title Page, Front Page",ひ,とびら
挿,10,8,1908,1,"Insert, Put In, Graft, Wear (sword)",そう,"さ.す, はさ.む"
掌,12,8,1757,1,"Manipulate, Rule, Administer, Conduct, Palm Of Hand",しょう,"てのひら, たなごころ"
滴,14,8,2019,2,"Drip, Drop",てき,"しずく, したた.る"
炊,8,8,1777,1,"Cook, Boil",すい,"た.く, -だ.き"
爽,11,8,2333,1,"Refreshing, Bracing, Resonant, Sweet, Clear",そう,"あき.らか, さわ.やか, たがう"
畳,12,8,1665,2,"Tatami Mat, Counter For Tatami Mats, Fold, Shut Up, Do Away With","じょう, ちょう","たた.む, たたみ, かさ.なる"
瞭,17,8,0,1,Clear,りょう,あきらか
箸,15,8,2156,0,Chopsticks,"ちょ, ちゃく",はし
胴,10,8,1904,1,"Trunk, Torso, Hull (ship), Hub Of Wheel",どう,
芯,7,8,2202,0,Wick,しん,
虹,9,8,2110,1,Rainbow,こう,にじ
帳,11,3,1459,1,"Notebook, Account Book, Album, Curtain, Veil, Net, Tent",ちょう,とばり
蚊,10,8,2121,1,Mosquito,ぶん,か
蛇,11,8,1721,1,"Snake, Serpent, Hard Drinker","じゃ, だ, い, や",へび
貼,12,8,2444,0,"Stick, Paste, Apply","てん, ちょう","は.る, つ.く"
辱,10,8,1769,1,"Embarrass, Humiliate, Shame",じょく,はずかし.める
鉢,13,8,1890,1,"Bowl, Rice Tub, Pot, Crown","はち, はつ",
闇,17,8,1969,0,"Get Dark, Gloom, Disorder","あん, おん","やみ, くら.い"
隙,13,8,0,0,"Crevice, Fissure, Discord, Opportunity, Leisure","げき, きゃく, けき","すき, す.く, す.かす, ひま"
霜,17,8,2151,1,Frost,そう,しも
飢,10,8,1659,1,"Hungry, Starve",き,う.える
餓,15,8,1754,1,"Starve, Hungry, Thirst",が,う.える
畜,10,8,1824,2,"Livestock, Domestic Fowl And Animals",ちく,
迅,6,8,1888,1,"Swift, Fast",じん,
騎,18,8,1696,1,"Equestrian, Riding On Horses, Counter For Equestrians",き,
蓄,13,8,1260,1,"Amass, Raise, Hoard, Store",ちく,たくわ.える
尽,6,8,1234,1,"Exhaust, Use Up, Run Out Of, Deplete, Befriend, Serve","じん, さん","つ.くす, -つ.くす, -づ.くし, -つ.く, -づ.く, -ず.く, つ.きる, つ.かす, さかづき, ことごと.く, つか, つき"
彩,11,8,1251,1,"Coloring, Paint, Makeup",さい,いろど.る
憶,16,8,1324,1,"Recollection, Think, Remember",おく,
溶,13,8,1364,2,"Melt, Dissolve, Thaw",よう,"と.ける, と.かす, と.く"
耐,9,8,1295,1,"-proof, Enduring",たい,た.える
踊,14,8,1308,2,"Jump, Dance, Leap, Skip",よう,おど.る
賢,16,8,1159,2,"Intelligent, Wise, Wisdom, Cleverness",けん,かしこ.い
輝,15,8,1259,1,"Radiance, Shine, Sparkle, Gleam, Twinkle",き,かがや.く
脅,10,8,1183,1,"Threaten, Coerce",きょう,"おびや.かす, おど.す, おど.かす"
麻,11,8,1142,1,"Hemp, Flax, Numb","ま, まあ",あさ
灯,6,4,1605,2,"Lamp, A Light, Light, Counter For Lights",とう,"ひ, ほ-, ともしび, とも.す, あかり"
咲,9,8,1534,2,"Blossom, Bloom",しょう,"さ.く, -ざき"
培,11,8,1431,1,"Cultivate, Foster",ばい,つちか.う
悔,9,8,1460,1,"Repent, Regret",かい,"く.いる, く.やむ, くや.しい"
脇,10,8,1806,0,"Armpit, The Other Way, Another Place, Flank, Supporting Role",きょう,"わき, わけ"
遂,12,8,1423,1,"Consummate, Accomplish, Attain, Commit (suicide)",すい,"と.げる, つい.に"
班,10,6,1592,1,"Squad, Corps, Unit, Group",はん,
塗,13,8,1414,2,"Paint, Plaster, Daub, Smear, Coating",と,"ぬ.る, ぬ.り, まみ.れる"
斜,11,8,1504,1,"Diagonal, Slanting, Oblique",しゃ,"なな.め, はす"
殴,8,8,1622,1,"Assault, Hit, Beat, Thrash",おう,なぐ.る
盾,9,8,1476,1,"Shield, Escutcheon, Pretext",じゅん,たて
穫,18,8,1642,1,"Harvest, Reap",かく,
巾,3,8,0,0,"Towel, Hanging Scroll, Width, Cloth Radical (no. 50)","きん, ふく","おお.い, ちきり, きれ"
駒,15,8,1452,1,"Pony, Horse, Colt",く,こま
紫,12,8,1516,1,"Purple, Violet",し,むらさき
抽,8,8,1437,1,"Pluck, Pull, Extract, Excel",ちゅう,ひき-
誓,14,8,1567,1,"Vow, Swear, Pledge",せい,ちか.う
悟,10,8,1411,1,"Enlightenment, Perceive, Discern, Realize, Understand",ご,さと.る
拓,8,8,1526,1,"Clear (the Land), Open, Break Up (land)",たく,ひら.く
拘,8,8,1336,1,"Arrest, Seize, Concerned, Adhere To, Despite",こう,かか.わる
礎,18,8,1224,1,"Cornerstone, Foundation Stone",そ,いしずえ
鶴,21,8,1369,1,"Crane, Stork",かく,つる
刈,4,8,1738,1,"Reap, Cut, Clip, Trim, Prune","がい, かい",か.る
剛,10,8,1576,1,"Sturdy, Strength",ごう,
唯,11,8,1292,1,"Solely, Only, Merely, Simply","ゆい, い",ただ
壇,16,8,1512,1,"Podium, Stage, Rostrum, Terrace","だん, たん",
尼,5,8,1844,1,Nun,に,あま
概,14,8,1335,1,"Outline, Condition, Approximation, Generally",がい,おおむ.ね
浸,10,8,1447,1,"Immersed, Soak, Dip, Steep, Moisten, Wet, Dunk",しん,"ひた.す, ひた.る, つ.かる"
淡,11,8,1436,1,"Thin, Faint, Pale, Fleeting",たん,あわ.い
煮,12,8,1565,1,"Boil, Cook",しゃ,"に.る, -に, に.える, に.やす"
覆,18,8,1378,1,"Capsize, Cover, Shade, Mantle, Be Ruined",ふく,"おお.う, くつがえ.す, くつがえ.る"
謀,16,8,1370,1,"Conspire, Cheat, Impose On, Plan, Devise, Scheme, Have In Mind, Deceive","ぼう, む","はか.る, たばか.る, はかりごと"
陶,11,8,1680,1,"Pottery, Porcelain",とう,すえ
隔,13,8,1382,1,"Isolate, Alternate, Distance, Separate, Gulf",かく,"へだ.てる, へだ.たる"
征,8,8,1578,1,"Subjugate, Attack The Rebellious, Collect Taxes",せい,
陛,10,6,1429,1,"Highness, Steps (of Throne)",へい,
俗,9,8,1610,1,"Vulgar, Customs, Manners, Worldliness, Mundane Things",ぞく,
桑,10,8,1650,1,Mulberry,そう,くわ
潤,15,8,1644,1,"Wet, Be Watered, Profit By, Receive Benefits, Favor, Charm, Steep",じゅん,"うるお.う, うるお.す, うる.む"
珠,10,8,1711,1,"Pearl, Gem, Jewel",しゅ,たま
衰,10,8,1432,1,"Decline, Wane, Weaken",すい,おとろ.える
奨,13,8,1445,1,"Exhort, Urge, Encourage","しょう, そう",すす.める
劣,6,8,1620,1,"Inferiority, Be Inferior To, Be Worse",れつ,おと.る
勘,11,8,1494,1,"Intuition, Perception, Check, Compare, Sixth Sense",かん,
妃,6,8,1752,1,"Queen, Princess",ひ,きさき
丈,3,8,1375,0,"Length, Ten Shaku, Measure, Mr., Ms., Height, Stature, All (one Has), Only, That's All, Merely",じょう,"たけ, だけ"
峰,10,8,1836,1,"Summit, Peak",ほう,"みね, ね"
巧,5,8,1537,1,"Adroit, Skilled, Ingenuity",こう,"たく.み, たく.む, うま.い"
邪,8,8,1612,1,"Wicked, Injustice, Wrong",じゃ,よこし.ま
駄,14,8,1500,1,"Burdensome, Pack Horse, Horse Load, Send By Horse, Trivial, Worthless","だ, た",
唐,10,8,1727,0,"T'ang, China, Foreign",とう,から
廷,7,8,1439,1,"Courts, Imperial Court, Government Office",てい,
鬱,29,8,0,0,"Gloom, Depression, Melancholy, Luxuriant",うつ,"うっ.する, ふさ.ぐ, しげ.る"
鰐,20,13,0,0,"Alligator, Crocodile",がく,わに
蟹,19,9,2417,0,Crab,かい,かに
簿,19,8,1358,1,"Register, Record Book",ぼ,
彰,14,8,1310,1,"Patent, Clear",しょう,
漫,14,8,1408,1,"Cartoon, Involuntarily, Unrestrained, In Spite Of Oneself, Corrupt",まん,"みだり.に, そぞ.ろ"
訂,9,8,1690,1,"Revise, Correct, Decide",てい,ただ.す
諮,16,8,1345,1,Consult With,し,はか.る
銘,14,8,1394,1,"Inscription, Signature (of Artisan)",めい,
堰,12,9,1913,0,"Dam, Prevent, Stop Up",えん,"せき, せ.く"
堤,12,8,1658,1,"Dike, Bank, Embankment",てい,つつみ
漂,14,8,1492,1,"Drift, Float (on Liquid)",ひょう,ただよ.う
翻,18,8,1465,1,"Flip, Turn Over, Wave, Flutter, Change (mind)","ほん, はん","ひるがえ.る, ひるがえ.す"
軌,9,8,1480,1,"Rut, Wheel, Track, Model, Way Of Doing",き,
后,6,6,1583,1,"Empress, Queen, After, Behind, Back, Later","こう, ご",きさき
奮,16,6,1521,1,"Stirred Up, Be Invigorated, Flourish",ふん,ふる.う
亭,9,8,1627,1,"Pavilion, Restaurant, Mansion, Arbor, Cottage, Vaudeville, Music Hall, Stage Name","てい, ちん",
仰,6,8,1573,1,"Face-up, Look Up, Depend, Seek, Respect, Rever, Drink, Take","ぎょう, こう","あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る"
伯,7,8,1741,1,"Chief, Count, Earl, Uncle, Brazil",はく,
偶,11,8,1602,3,"Accidentally, Even Number, Couple, Man & Wife, Same Kind",ぐう,たま
淀,11,9,1987,0,"Pool, Eddy","てん, でん",よど.む
墳,15,8,1822,1,"Tomb, Mound",ふん,
壮,6,8,1657,1,"Robust, Manhood, Prosperity",そう,さかん
把,7,8,1569,1,"Grasp, Faggot, Bunch, Counter For Bundles","は, わ",
搬,13,8,1664,1,"Conveyor, Carry, Transport",はん,
晶,12,8,1613,1,"Sparkle, Clear, Crystal",しょう,
洞,9,8,1618,1,"Den, Cave, Excavation",どう,ほら
涯,11,8,1525,1,"Horizon, Shore, Limit, Bound",がい,はて
疫,9,8,1661,1,Epidemic,"えき, やく",
孔,4,8,2052,1,"Cavity, Hole, Slit, Very, Great, Exceedingly","こう, く",あな
偉,12,8,1639,3,"Admirable, Greatness, Remarkable, Conceited, Famous, Excellent",い,えら.い
頂,11,6,1350,3,"Place On The Head, Receive, Top Of Head, Top, Summit, Peak",ちょう,"いただ.く, いただき"
召,5,8,1540,2,"Seduce, Call, Send For, Wear, Put On, Ride In, Buy, Eat, Drink, Catch (cold)",しょう,め.す
挟,9,8,1870,2,"Pinch, Between","きょう, しょう","はさ.む, はさ.まる, わきばさ.む, さしはさ.む"
枯,9,8,1749,2,"Wither, Die, Dry Up, Be Seasoned",こ,"か.れる, か.らす"
沸,8,8,1709,2,"Seethe, Boil, Ferment, Uproar, Breed",ふつ,"わ.く, わ.かす"
濯,17,8,1698,2,"Laundry, Wash, Pour On, Rinse",たく,"すす.ぐ, ゆす.ぐ"
燥,17,8,1819,2,"Parch, Dry Up",そう,はしゃ.ぐ
