kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
戸,4,2,575,2,"Door, Counter For Houses, Door Radical (no. 63)",こ,と
方,4,2,46,4,"Direction, Person, Alternative",ほう,"かた, -かた, -がた"
牛,4,2,1202,4,Cow,ぎゅう,うし
父,4,2,646,5,Father,ふ,ちち
毛,4,2,1179,2,"Fur, Hair, Feather, Down",もう,け
止,4,2,310,4,"Stop, Halt",し,"と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し"
兄,5,2,1219,4,"Elder Brother, Big Brother","けい, きょう",あに
冬,5,2,1090,4,Winter,とう,ふゆ
北,5,2,153,5,North,ほく,きた
半,5,2,224,5,"Half, Middle, Odd Number, Semi-, Part-",はん,なか.ば
古,5,2,509,4,Old,こ,"ふる.い, ふる-, -ふる.す"
台,5,2,262,4,"Pedestal, A Stand, Counter For Machines And Vehicles","だい, たい","うてな, われ, つかさ"
外,5,2,81,5,Outside,"がい, げ","そと, ほか, はず.す, はず.れる, と-"
市,5,2,42,3,"Market, City, Town",し,いち
広,5,2,263,4,"Wide, Broad, Spacious",こう,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる"
母,5,2,570,5,Mother,ぼ,"はは, も"
用,5,2,107,4,"Utilize, Business, Service, Use, Employ",よう,もち.いる
矢,5,2,1294,1,"Dart, Arrow",し,や
世,5,3,135,4,"Generation, World, Society, Public","せい, せ, そう",よ
主,5,3,95,4,"Lord, Chief, Master, Main Thing, Principal","しゅ, す, しゅう","ぬし, おも, あるじ"
他,5,3,543,3,"Other, Another, The Others",た,ほか
代,5,3,66,4,"Substitute, Change, Convert, Replace, Period, Age, Counter For Decades Of Ages, Eras, Etc., Generation, Charge, Rate, Fee","だい, たい","か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ"
写,5,3,453,4,"Copy, Be Photographed, Describe","しゃ, じゃ","うつ.す, うつ.る, うつ-, うつ.し"
去,5,3,440,4,"Gone, Past, Quit, Leave, Elapse, Eliminate, Divorce","きょ, こ","さ.る, -さ.る"
号,5,3,585,3,"Nickname, Number, Item, Title, Pseudonym, Name, Call",ごう,"さけ.ぶ, よびな"
央,5,3,582,2,"Center, Middle",おう,
平,5,3,128,3,"Even, Flat, Peace","へい, びょう, ひょう","たい.ら, -だいら, ひら, ひら-"
打,5,3,239,3,"Strike, Hit, Knock, Pound, Dozen","だ, だあす","う.つ, う.ち-, ぶ.つ"
氷,5,3,1450,2,"Icicle, Ice, Hail, Freeze, Congeal",ひょう,"こおり, ひ, こお.る"
申,5,3,492,3,"Have The Honor To, Sign Of The Monkey, 3-5pm, Ninth Sign Of Chinese Zodiac",しん,"もう.す, もう.し-, さる"
皮,5,3,1092,2,"Pelt, Skin, Hide, Leather, Skin Radical (no. 107)",ひ,かわ
皿,5,3,1812,2,"Dish, A Helping, Plate",べい,さら
礼,5,3,1185,3,"Salute, Bow, Ceremony, Thanks, Remuneration","れい, らい",
休,6,1,642,5,"Rest, Day Off, Retire, Sleep",きゅう,"やす.む, やす.まる, やす.める"
先,6,1,173,5,"Before, Ahead, Previous, Future, Precedence",せん,"さき, ま.ず"
名,6,1,177,5,"Name, Noted, Distinguished, Reputation","めい, みょう","な, -な"
字,6,1,485,4,"Character, Letter, Word, Section Of Village",じ,"あざ, あざな, -な"
年,6,1,6,5,"Year, Counter For Years",ねん,とし
早,6,1,402,4,"Early, Fast","そう, さっ","はや.い, はや, はや-, はや.まる, はや.める, さ-"
気,6,1,113,5,"Spirit, Mind, Air, Atmosphere, Mood","き, け",いき
百,6,1,163,5,Hundred,"ひゃく, びゃく",もも
竹,6,1,593,2,Bamboo,ちく,たけ
糸,6,1,1488,2,Thread,し,いと
耳,6,1,1328,3,Ear,じ,みみ
虫,6,1,1351,2,"Insect, Bug, Temper","ちゅう, き",むし
村,7,1,253,2,"Village, Town",そん,むら
男,7,1,240,5,Male,"だん, なん","おとこ, お"
町,7,1,292,4,"Town, Village, Block, Street",ちょう,まち
花,7,1,578,4,Flower,"か, け",はな
見,7,1,22,5,"See, Hopes, Chances, Idea, Opinion, Look At, Visible",けん,"み.る, み.える, み.せる"
貝,7,1,1787,2,Shellfish,ばい,かい
赤,7,1,584,4,Red,"せき, しゃく","あか, あか-, あか.い, あか.らむ, あか.らめる"
足,7,1,343,4,"Leg, Foot, Be Sufficient, Counter For Pairs Of Footwear",そく,"あし, た.りる, た.る, た.す"
車,7,1,333,5,Car,しゃ,くるま
不,4,4,101,4,"Negative, Non-, Bad, Ugly, Clumsy","ふ, ぶ",
仕,5,3,439,4,"Attend, Doing, Official, Serve","し, じ",つか.える
交,6,2,178,3,"Mingle, Mixing, Association, Coming & Going",こう,"まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも"
