kanji,strokes,grade,freq,jlpt_new
僉,13,13,0,0
僊,13,13,0,0
傳,13,10,0,0
僂,13,13,0,0
僖,14,13,0,0
僞,14,10,0,0
僥,14,13,0,0
僭,14,13,0,0
僣,14,13,0,0
僮,14,13,0,0
價,15,10,0,0
僵,15,13,0,0
儉,15,10,0,0
儁,14,13,0,0
儂,15,13,0,0
儖,17,13,0,0
儕,16,13,0,0
儔,16,13,0,0
儚,15,13,0,0
儡,17,13,0,0
儺,21,13,0,0
儷,21,13,0,0
儼,22,13,0,0
儻,22,13,0,0
儿,2,13,0,0
兀,3,13,0,0
兒,8,10,0,0
兌,7,13,0,0
兔,8,13,0,0
兢,14,13,0,0
竸,22,13,0,0
兩,8,13,0,0
兪,9,13,0,0
兮,4,13,0,0
冀,16,13,0,0
冂,2,13,0,0
囘,5,13,0,0
册,5,13,0,0
冉,5,13,0,0
冏,7,13,0,0
冑,9,13,0,0
冓,10,13,0,0
冕,11,13,0,0
冖,2,13,0,0
冤,10,13,2382,0
冦,10,13,0,0
冢,10,13,0,0
冩,14,13,0,0
冪,15,13,0,0
冫,2,13,0,0
决,6,13,0,0
冱,6,13,0,0
冲,6,13,0,0
冰,6,13,0,0
况,7,13,0,0
冽,8,13,0,0
凅,10,13,0,0
凉,10,10,0,0
几,2,13,0,0
處,11,13,0,0
凩,6,13,0,0
凭,8,13,0,0
凰,11,9,0,0
凵,2,13,0,0
凾,9,13,0,0
刄,3,13,0,0
刋,5,13,0,0
刔,6,13,0,0
刎,6,13,0,0
刧,7,13,0,0
刪,7,13,0,0
刮,8,13,0,0
刳,8,13,0,0
刹,8,8,0,0
剏,9,13,0,0
剄,9,13,0,0
剋,9,13,0,0
剌,9,13,0,0
剞,10,13,0,0
剔,10,13,0,0
剪,11,13,0,0
剴,12,13,0,0
剩,12,10,0,0
剳,11,13,0,0
剿,13,13,0,0
剽,13,13,0,0
劍,15,10,0,0
劔,16,13,0,0
劒,16,13,0,0
剱,11,13,0,0
劈,15,13,0,0
劑,16,13,0,0
辨,16,13,0,0
辧,16,13,0,0
劬,7,13,0,0
劭,7,13,0,0
劼,8,13,0,0
劵,8,13,0,0
勁,9,9,0,1
勍,10,13,0,0
勗,11,13,0,0
勞,12,13,0,0
勣,13,13,0,0
勦,13,13,0,0
飭,13,13,0,0
勠,13,13,0,0
勳,16,10,0,0
勵,16,13,0,0
勸,19,13,0,0
勹,2,13,0,0
匆,5,13,0,0
匈,6,13,0,0
甸,7,13,0,0
匍,9,13,0,0
匐,11,13,0,0
匏,11,13,0,0
匕,2,13,0,0
匚,2,13,0,0
匣,7,13,0,0
匯,13,13,0,0
匱,14,13,0,0
匳,15,13,0,0
匸,2,13,0,0
區,11,13,0,0
卆,4,13,0,0
卅,4,13,0,0
丗,5,13,0,0
卉,5,13,0,0
卍,6,13,0,0
凖,12,13,0,0
卞,4,13,0,0
卩,2,13,0,0
卮,5,13,0,0
夘,5,13,0,0
卻,9,13,0,0
卷,8,10,0,0
厂,2,13,0,0
厖,9,13,0,0
厠,11,13,0,0
厦,12,13,2381,0
厥,12,13,0,0
厮,14,13,0,0
厰,14,13,0,0
厶,2,13,0,0
參,11,13,0,0
簒,17,13,0,0
雙,18,13,0,0
叟,10,13,0,0
曼,11,13,2395,0
燮,17,13,0,0
叮,5,13,0,0
叨,5,13,0,0
叭,5,13,0,0
叺,5,13,0,0
吁,6,13,0,0
吽,7,13,0,0
呀,8,13,0,0
听,7,13,0,0
吭,7,13,0,0
吼,7,13,0,0
吮,7,13,0,0
吶,7,13,0,0
吩,7,13,0,0
吝,7,13,0,0
呎,7,13,0,0
咏,8,13,0,0
呵,8,13,0,0
咎,8,13,0,0
呟,8,13,0,0
呱,9,13,0,0
呷,8,13,0,0
呰,9,13,0,0
咒,8,13,0,0
呻,8,13,0,0
咀,8,13,0,0
呶,8,13,0,0
咄,8,13,0,0
咐,8,13,0,0
咆,8,13,0,0
哇,9,13,0,0
咢,9,13,0,0
咸,9,13,2345,0
咥,9,13,0,0
咬,9,13,0,0
哄,9,13,0,0
哈,9,13,0,0
咨,9,13,0,0
咫,9,13,0,0
哂,9,13,0,0
咤,9,13,0,0
咾,9,13,0,0
咼,9,13,0,0
哘,9,13,0,0
哥,10,13,0,0
哦,10,13,0,0
唏,10,13,0,0
唔,10,13,0,0
哽,10,13,0,0
哮,10,13,0,0
哭,10,13,0,0
哢,10,13,0,0
唹,11,13,0,0
啀,11,13,0,0
啣,12,13,0,0
啌,11,13,0,0
售,11,13,0,0
啜,11,13,0,0
啅,11,13,0,0
啖,11,13,0,0
啗,11,13,0,0
唸,11,13,0,0
唳,10,13,0,0
啝,11,13,0,0
喙,12,13,0,0
喀,12,13,0,0
咯,9,13,0,0
喊,12,13,0,0
喟,12,13,0,0
啻,12,13,0,0
啾,12,13,0,0
喘,12,13,2449,0
喞,12,13,0,0
單,12,10,0,0
啼,12,13,0,0
喃,12,13,0,0
喩,12,8,0,0
喇,12,13,0,0
喨,12,13,0,0
嗚,13,13,0,0
嗅,13,8,2480,0
嗟,13,13,0,0
嗄,13,13,0,0
嗜,13,13,2465,0
嗤,13,13,0,0
嗔,13,13,0,0
嘔,14,13,0,0
嗷,14,13,0,0
嘖,14,13,0,0
嗾,14,13,0,0
嗽,14,13,0,0
嘛,14,13,0,0
嗹,14,13,0,0
噎,15,13,0,0
噐,15,13,0,0
營,17,13,0,0
嘴,16,13,0,0
嘶,15,13,0,0
嘲,15,8,0,0
嘸,15,13,0,0
噫,16,13,0,0
噤,16,13,0,0
嘯,16,13,0,0
噬,16,13,0,0
噪,16,13,0,0
嚆,16,13,0,0
嚀,17,13,0,0
嚊,17,13,0,0
嚠,18,13,0,0
嚔,17,13,0,0
嚏,17,13,0,0
嚥,19,13,0,0
嚮,19,13,0,0
嚶,20,13,0,0
嚴,20,10,0,0
囂,21,13,0,0
嚼,21,13,0,0
囁,21,13,0,0
囃,21,13,2275,0
囀,21,13,0,0
囈,21,13,0,0
囎,22,13,0,0
囑,24,13,0,0
囓,24,13,0,0
囗,3,13,0,0
囮,7,13,0,0
囹,8,13,0,0
圀,9,13,0,0
囿,9,13,0,0
圄,10,13,0,0
圉,11,13,0,0
圈,11,10,0,0
國,11,10,0,0
圍,13,13,0,0
圓,13,10,0,0
團,14,10,0,0
圖,14,13,0,0
嗇,13,13,0,0
圜,16,13,0,0
圦,5,13,0,0
圷,6,13,0,0
圸,6,13,0,0
坎,7,13,0,0
圻,7,13,0,0
址,7,13,0,0
坏,7,13,0,0
坩,8,13,0,0
埀,10,13,0,0
垈,8,13,0,0
坡,8,13,0,0
坿,8,13,0,0
垉,8,13,0,0
垓,9,13,0,0
垠,9,13,0,0
垳,9,13,0,0
垤,9,13,0,0
垪,9,13,0,0
垰,9,13,0,0
埃,10,13,0,0
埆,10,13,0,0
埔,10,13,0,0
埒,10,13,0,0
埓,10,13,0,0
堊,11,13,0,0
埖,10,13,0,0
埣,11,13,0,0
堋,11,13,0,0
堙,12,13,0,0
堝,12,13,0,0
塲,14,13,0,0
堡,12,13,0,0
塢,13,13,0,0
塋,13,13,0,0
塰,13,13,0,0
毀,13,8,0,0
塒,13,13,0,0
堽,12,13,0,0
塹,14,13,0,0
墅,14,13,0,0
墹,15,13,0,0
墫,15,13,0,0
墺,16,13,0,0
壞,19,10,0,0
墻,16,13,0,0
墸,15,13,0,0
墮,15,13,0,0
壅,16,13,0,0
壓,17,13,0,0
壑,17,13,0,0
壗,17,13,0,0
壙,18,13,0,0
壘,18,10,0,0
壥,20,13,0,0
壜,19,13,0,0
壤,20,13,0,0
壟,19,13,0,0
壯,7,10,0,0
壺,12,13,0,0
壹,12,13,0,0
壻,12,13,0,0
壼,13,13,0,0
壽,14,10,0,0
夂,3,13,0,0
夊,3,13,0,0
夐,14,13,0,0
夛,6,13,0,0
梦,11,13,0,0
夥,14,13,0,0
夬,4,13,0,0
夭,4,13,0,0
夲,5,13,0,0
夸,6,13,0,0
夾,7,13,0,0
竒,9,13,0,0
奕,9,13,0,0
奐,9,13,0,0
奎,9,9,0,1
奚,10,13,0,0
奘,10,13,0,0
奢,12,13,0,0
奠,12,13,0,0
奧,13,10,0,0
奬,14,10,0,0
奩,14,13,0,0
奸,6,13,0,0
妁,6,13,0,0
妝,7,13,0,0
佞,7,13,0,0
侫,8,13,0,0
妣,7,13,0,0
妲,8,13,0,0
姆,8,13,0,0
姨,9,13,0,0
姜,9,13,1915,0
妍,7,13,0,0
姙,9,13,0,0
姚,9,13,2433,0
娥,10,13,0,0
娟,10,13,0,0
娑,10,13,0,0
娜,10,13,0,0
娉,10,13,0,0
娚,10,13,0,0
婀,11,13,0,0
婬,11,13,0,0
婉,11,13,0,0
娵,11,13,0,0
娶,11,13,0,0
婢,11,13,0,0
婪,11,13,0,0
媚,12,13,0,0
媼,13,13,0,0
媾,13,13,0,0
嫋,13,13,0,0
嫂,13,13,0,0
媽,13,13,0,0
嫣,14,13,0,0
嫗,14,13,0,0
嫦,14,13,0,0
嫩,14,13,0,0
嫖,14,13,0,0
嫺,15,13,0,0
嫻,15,13,0,0
嬌,15,13,0,0
嬋,15,13,0,0
嬖,16,13,0,0
嬲,17,13,0,0
嫐,13,13,0,0
嬪,17,13,0,0
嬶,17,13,0,0
嬾,19,13,0,0
孃,20,10,0,0
孅,20,13,0,0
孀,20,13,0,0
孑,3,13,0,0
孕,5,13,0,0
孚,7,13,0,0
孛,7,13,0,0
孥,8,13,0,0
孩,9,13,0,0
孰,11,13,0,0
孳,12,13,0,0
孵,14,13,0,0
學,16,13,0,0
斈,7,13,0,0
孺,17,13,0,0
宀,3,13,0,0
它,5,13,0,0
宦,10,13,0,0
宸,10,13,0,0
寃,11,13,0,0
寇,11,13,0,0
寉,11,13,0,0
寔,12,13,0,0
寐,12,13,0,0
寤,14,13,0,0
實,14,10,0,0
寢,14,10,0,0
寞,13,13,0,0
寥,14,13,0,0
寫,15,13,0,0
寰,16,13,0,0
寶,20,13,0,0
寳,19,13,0,0
尅,10,13,0,0
將,11,10,0,0
專,11,10,0,0
對,14,13,0,0
尓,5,13,0,0
尠,13,13,0,0
尢,3,13,0,0
尨,7,13,0,0
尸,3,13,0,0
尹,4,13,2180,0
屁,7,13,0,0
屆,8,13,0,0
屎,9,13,0,0
屓,10,13,0,0
屐,10,13,0,0
屏,9,13,2002,0
孱,12,13,0,0
屬,21,13,0,0
屮,3,13,0,0
乢,4,13,0,0
屶,5,13,0,0
屹,6,13,0,0
岌,7,13,0,0
岑,7,13,0,0
岔,7,13,0,0
妛,7,13,0,0
岫,8,13,0,0
岻,8,13,0,0
岶,8,13,0,0
岼,8,13,0,0
岷,8,13,0,0
峅,8,13,0,0
岾,8,13,0,0
峇,9,13,0,0
峙,9,13,2279,0
峩,10,13,0,0
峽,10,10,0,0
峺,10,13,0,0
峭,10,13,0,0
嶌,14,13,1774,0
峪,10,13,0,0
崋,10,13,0,0
崕,11,13,0,0
崗,11,13,0,0
嵜,12,13,0,0
崟,11,13,0,0
崛,11,13,0,0
崑,11,13,0,0
崔,11,13,1963,0
崢,11,13,0,0
崚,11,9,0,1
崙,11,13,0,0
崘,11,13,0,0
嵌,12,13,0,0
嵒,12,13,0,0
嵎,12,13,0,0
嵋,12,13,0,0
嵬,13,13,0,0
嵳,13,13,0,0
嵶,13,13,0,0
嶇,14,13,0,0
嶄,14,13,0,0
嶂,14,13,0,0
嶢,15,13,0,0
嶝,15,13,0,0
嶬,16,13,0,0
嶮,16,13,0,0
嶽,17,13,2135,0
嶐,14,13,0,0
嶷,17,13,0,0
嶼,16,13,0,0
巉,20,13,0,0
巍,21,13,0,0
巓,22,13,0,0
巒,22,13,0,0
巖,23,9,0,0
巛,3,13,0,0
巫,7,9,0,0
已,3,9,2140,0
巵,7,13,0,0
帋,7,13,0,0
帚,8,13,0,0
帙,8,13,0,0
帑,8,13,0,0
帛,8,13,0,0
帶,11,10,0,0
帷,11,13,0,0
幄,12,13,0,0
幃,13,13,0,0
幀,12,13,0,0
幎,13,13,0,0
幗,14,13,0,0
幔,14,13,0,0
幟,15,13,0,0
幢,15,13,0,0
幤,15,13,0,0
幇,12,13,0,0
幵,6,13,0,0
并,6,13,0,0
幺,3,13,0,0
麼,14,13,0,0
广,3,13,0,0
庠,9,13,0,0
廁,12,13,0,0
廂,12,13,0,0
廈,13,13,0,0
廐,13,13,0,0
廏,14,13,0,0
廖,14,13,0,0
廣,15,10,2487,0
廝,15,13,0,0
廚,15,13,0,0
廛,15,13,0,0
廢,15,13,0,0
廡,15,13,0,0
廨,16,13,0,0
廩,16,13,0,0
廬,19,13,0,0
廱,21,13,0,0
廳,25,10,0,0
廰,20,13,0,0
廴,3,13,0,0
廸,8,13,0,0
廾,3,13,0,0
弃,7,13,0,0
弉,10,13,0,0
彝,18,13,0,0
彜,16,13,0,0
弋,3,13,0,0
弑,12,13,0,0
弖,4,13,0,0
弩,8,13,0,0
弭,9,13,0,0
弸,11,13,0,0
彁,13,13,0,0
彈,15,10,0,0
彌,17,10,0,0
彎,22,13,0,0
弯,9,13,0,0
彑,3,13,0,0
彖,9,13,0,0
彗,11,9,2294,1
彙,13,8,0,0
彡,3,13,0,0
彭,12,13,2409,0
彳,3,13,0,0
彷,7,13,0,0
徃,8,13,0,0
徂,8,13,0,0
彿,8,13,0,0
徊,9,13,0,0
很,9,13,0,0
徑,10,13,0,0
徇,9,13,0,0
從,11,10,0,0
徙,11,13,0,0
徘,11,13,2414,0
徠,11,9,0,0
徨,12,13,0,0
徭,13,13,0,0
徼,16,13,0,0
忖,6,13,0,0
忻,7,13,0,0
忤,7,13,0,0
忸,7,13,0,0
忱,7,13,0,0
忝,8,13,0,0
悳,12,13,0,0
忿,8,13,0,0
怡,8,13,0,0
恠,9,13,0,0
怙,8,13,0,0
怐,8,13,0,0
怩,8,13,0,0
怎,9,13,0,0
怱,9,13,0,0
怛,8,13,0,0
怕,8,13,0,0
怫,8,13,0,0
怦,8,13,0,0
怏,8,13,0,0
怺,8,13,0,0
恚,10,13,0,0
恁,10,13,0,0
恪,9,13,0,0
恷,10,13,0,0
恟,9,13,0,0
恊,9,13,0,0
恆,9,10,0,0
恍,9,13,0,0
恣,10,8,2325,0
恃,9,13,0,0
恤,9,13,0,0
恂,9,13,0,0
恬,9,13,0,0
恫,9,13,0,0
恙,10,13,0,0
悁,10,13,0,0
悍,10,13,0,0
惧,11,8,2097,0
悃,10,13,0,0
悚,10,13,0,0
悄,10,13,0,0
悛,10,13,0,0
悖,10,13,0,0
悗,10,13,0,0
悒,10,13,0,0
悧,10,13,0,0
悋,10,13,0,0
惡,12,10,0,0
悸,11,13,0,0
惠,12,10,0,0
惓,12,13,0,0
悴,11,13,0,0
忰,7,13,0,0
悽,11,13,0,0
惆,11,13,0,0
悵,11,13,0,0
惘,11,13,0,0
慍,13,13,0,0
愕,12,13,0,0
愆,13,13,0,0
惶,12,13,0,0
惷,13,13,0,0
愀,12,13,0,0
惴,12,13,0,0
惺,12,9,0,0
愃,12,13,0,0
愡,12,13,0,0
惻,12,13,0,0
惱,12,13,0,0
愍,13,13,0,0
愎,12,13,0,0
慇,14,13,0,0
愾,13,13,0,0
愨,14,13,0,0
愧,13,13,0,0
慊,13,13,0,0
愿,14,13,0,0
愼,13,10,0,0
愬,14,13,0,0
愴,13,13,0,0
愽,13,13,0,0
慂,14,13,0,0
慄,13,8,0,0
慳,15,13,0,0
慷,14,13,0,0
慘,14,13,0,0
慙,15,13,0,0
慚,14,13,0,0
慫,15,13,0,0
慴,14,13,0,0
慯,14,13,0,0
慥,14,13,0,0
慱,14,13,0,0
慟,14,13,0,0
慝,14,13,0,0
慓,14,13,0,0
慵,14,13,0,0
憙,16,13,0,0
憖,16,13,0,0
憇,15,13,0,0
憬,15,8,0,0
憔,15,13,0,0
憚,15,13,0,0
憊,16,13,0,0
憑,16,13,0,0
憫,15,13,0,0
憮,15,13,0,0
懌,16,13,0,0
懊,16,13,0,0
應,17,10,0,0
懷,19,10,0,0
懈,16,13,0,0
懃,17,13,0,0
懆,16,13,0,0
憺,16,13,0,0
懋,17,13,0,0
罹,16,13,0,0
懍,16,13,0,0
懦,17,13,0,0
懣,18,13,0,0
懶,19,13,0,0
懺,20,13,0,0
懴,18,13,0,0
懿,22,13,0,0
懽,20,13,0,0
懼,21,13,0,0
懾,21,13,0,0
戀,23,13,0,0
戈,4,13,0,0
戉,5,13,0,0
戍,6,13,0,0
戌,6,13,0,0
戔,8,13,0,0
戛,11,13,0,0
戞,12,13,0,0
戡,13,13,0,0
截,14,13,0,0
戮,15,13,0,0
戰,16,10,0,0
戲,17,10,0,0
戳,18,13,0,0
扁,9,13,0,0
扎,4,13,0,0
扞,6,13,0,0
扣,6,13,0,0
扛,6,13,0,0
扠,6,13,0,0
扨,6,13,0,0
扼,7,13,0,0
抂,7,13,0,0
抉,7,13,0,0
找,7,13,0,0
抒,7,13,2309,0
抓,7,13,0,0
抖,7,13,0,0
拔,8,10,0,0
抃,7,13,0,0
抔,7,13,0,0
拗,8,13,0,0
拑,8,13,0,0
抻,8,13,0,0
拏,9,13,0,0
拿,10,13,0,0
拆,8,13,0,0
擔,16,13,0,0
拈,8,13,0,0
拜,9,10,0,0
拌,8,13,0,0
拊,8,13,0,0
拂,8,10,0,0
拇,8,13,0,0
抛,7,13,0,0
拉,8,8,0,0
挌,9,13,0,0
拮,9,13,0,0
拱,9,13,0,0
挧,9,13,0,0
挂,9,13,0,0
挈,10,13,0,0
拯,9,13,0,0
拵,9,13,0,0
捐,10,13,0,0
挾,10,13,0,0
捍,10,13,0,0
搜,13,10,2394,0
捏,10,13,0,0
掖,11,13,0,0
掎,11,13,0,0
掀,11,13,0,0
掫,11,13,0,0
捶,11,13,0,0
掣,12,13,0,0
掏,11,13,0,0
掉,11,13,0,0
掟,11,13,0,0
掵,11,13,0,0
捫,11,13,0,0
捩,10,13,0,0
掾,12,13,0,0
揩,12,13,0,0
揀,12,13,0,0
揆,12,13,0,0
揣,12,13,0,0
揉,12,13,0,0
插,12,13,0,0
揶,12,13,0,0
揄,12,13,0,0
搖,13,10,0,0
搴,14,13,0,0
搆,13,13,0,0
搓,13,13,0,0
搦,13,13,0,0
搶,13,13,0,0
攝,21,10,0,0
搗,13,13,0,0
搨,13,13,0,0
搏,13,13,0,0
摧,14,13,0,0
摯,15,8,2170,0
摶,14,13,0,0
摎,14,13,0,0
攪,23,13,0,0
撕,15,13,0,0
撓,15,13,0,0
撥,15,13,0,0
撩,15,13,0,0
撈,15,13,0,0
撼,16,13,0,0
據,16,13,0,0
擒,16,13,0,0
擅,16,13,0,0
擇,16,13,0,0
撻,16,13,0,0
擘,17,13,0,0
擂,16,13,0,0
擱,17,13,0,0
擧,17,13,0,0
舉,16,13,0,0
擠,17,13,0,0
擡,17,13,0,0
抬,8,13,0,0
擣,17,13,0,0
擯,17,13,0,0
攬,25,13,0,0
擶,18,13,0,0
擴,18,13,0,0
擲,18,13,0,0
擺,18,13,0,0
攀,19,13,0,0
擽,18,13,0,0
攘,20,13,0,0
攜,21,13,0,0
攅,18,13,0,0
攤,22,13,0,0
攣,23,13,0,0
攫,23,13,0,0
攴,4,13,0,0
攵,4,13,0,0
攷,6,13,0,0
收,6,10,0,0
攸,7,13,0,0
畋,9,13,0,0
效,10,13,0,0
敖,11,13,0,0
敕,11,13,0,0
敍,11,10,0,0
敘,11,13,0,0
敞,12,13,0,0
敝,12,13,0,0
敲,14,13,0,0
數,15,13,0,0
斂,17,13,0,0
斃,18,13,0,0
變,23,13,0,0
斛,11,13,0,0
斟,13,13,0,0
斫,9,13,0,0
斷,18,13,0,0
旃,10,13,0,0
旆,10,13,0,0
旁,10,13,0,0
旄,10,13,0,0
旌,11,13,0,0
旒,13,13,0,0
旛,18,13,2236,0
旙,16,13,0,0
无,4,13,0,0
旡,5,13,0,0
旱,7,13,0,0
杲,8,13,0,0
昊,8,9,0,0
昃,8,13,0,0
旻,8,13,0,0
杳,8,13,0,0
昵,9,13,0,0
昶,9,13,0,0
昴,9,9,0,1
昜,9,13,0,0
晏,10,9,0,1
晄,10,9,0,0
晉,10,13,0,0
晁,10,13,0,0
晞,11,13,0,0
晝,11,10,0,0
晤,11,13,0,0
晧,11,13,0,0
晨,11,9,0,1
晟,10,9,0,1
晢,11,13,0,0
晰,12,13,0,0
暃,12,13,0,0
暈,13,13,0,0
暎,12,13,0,0
暉,13,9,2285,1
暄,13,13,0,0
暘,13,13,0,0
暝,14,13,0,0
曁,16,13,0,0
暹,16,13,0,0
曉,16,10,0,0
暾,16,13,0,0
暼,16,13,0,0
曄,14,13,0,0
暸,16,13,0,0
曖,17,8,0,0
曚,17,13,0,0
曠,19,13,0,0
昿,9,13,0,0
曦,20,13,0,0
曩,21,13,0,0
曰,4,13,0,0
曵,7,13,0,0
曷,9,13,0,0
朏,9,13,0,0
朖,11,13,0,0
朞,12,13,0,0
朦,17,13,0,0
朧,20,13,0,0
霸,21,13,0,0
朮,5,13,0,0
朿,6,13,0,0
朶,6,13,0,0
杁,6,13,0,0
朸,6,13,0,0
朷,6,13,0,0
杆,7,13,0,0
杞,7,13,2493,0
杠,7,13,0,0
杙,7,13,0,0
杣,7,13,0,0
杤,7,13,0,0
枉,8,13,0,0
杰,8,13,0,0
枩,8,13,0,0
杼,8,13,0,0
杪,8,13,0,0
枌,8,13,0,0
枋,8,13,0,0
枦,8,13,0,0
枡,8,13,0,0
枅,8,13,0,0
枷,9,13,0,0
柯,9,13,0,0
枴,9,13,0,0
柬,9,13,0,0
枳,9,13,0,0
柩,9,13,0,0
枸,9,13,0,0
柤,9,13,0,0
柞,9,13,0,0
柝,9,13,0,0
柢,9,13,0,0
柮,9,13,0,0
枹,9,13,0,0
柎,9,13,0,0
柆,9,13,0,0
柧,10,13,0,0
檜,17,9,2090,0
框,10,13,0,0
栩,10,13,0,0
桀,11,13,0,0
桍,10,13,0,0
栲,10,13,0,0
桎,10,13,0,0
梳,11,13,0,0
栫,10,13,0,0
桙,10,13,0,0
档,10,13,0,0
桷,11,13,0,0
桿,11,13,0,0
梟,11,13,0,0
梏,11,13,0,0
梭,11,13,0,0
梔,11,13,0,0
條,11,10,0,0
梛,11,9,0,0
梃,11,13,0,0
檮,18,13,0,0
梹,11,13,0,0
桴,11,13,0,0
梵,11,13,0,0
梠,11,13,0,0
梺,11,13,0,0
椏,12,13,0,0
梍,11,13,0,0
桾,11,13,0,0
椁,12,13,0,0
棊,12,13,0,0
椈,12,13,0,0
棘,12,13,0,0
椢,12,13,0,0
椦,12,13,0,0
棡,12,13,0,0
椌,12,13,0,0
棍,12,13,0,0
棔,12,13,0,0
棧,12,13,0,0
棕,12,13,0,0
椶,13,13,0,0
椒,12,13,0,0
椄,12,13,0,0
棗,12,13,0,0
棣,12,13,0,0
椥,12,13,0,0
棹,12,13,0,0
棠,12,13,0,0
棯,12,13,0,0
椨,12,13,0,0
椪,12,13,0,0
椚,12,13,0,0
椣,12,13,0,0
椡,12,13,0,0
棆,12,13,0,0
楹,13,13,0,0
楷,13,8,0,0
楜,13,13,0,0
楸,13,13,0,0
楫,13,13,0,0
楔,13,13,0,0
楾,13,13,0,0
楮,13,13,0,0
椹,13,13,0,0
楴,13,13,0,0
椽,13,13,0,0
楙,13,13,0,0
椰,13,9,0,1
楡,13,13,0,0
楞,13,13,0,0
楝,13,13,0,0
榁,13,13,0,0
楪,13,13,0,0
榲,14,13,0,0
榮,14,10,0,0
槐,14,13,0,0
榿,14,13,0,0
槁,14,13,0,0
槓,14,13,0,0
榾,14,13,0,0
槎,14,13,0,0
寨,14,13,0,0
槊,14,13,0,0
槝,14,13,0,0
榻,14,13,0,0
槃,14,13,0,0
榧,14,13,0,0
樮,14,13,0,0
榑,14,13,0,0
榠,14,13,0,0
榜,14,13,0,0
榕,14,13,0,0
榴,14,13,0,0
槞,14,13,0,0
槨,15,13,0,0
樂,15,10,0,0
樛,15,13,0,0
槿,15,13,0,0
權,21,13,0,0
槹,15,13,0,0
槲,15,13,0,0
槧,15,13,0,0
樅,15,13,0,0
榱,14,13,0,0
樞,15,13,0,0
槭,15,13,0,0
樔,15,13,0,0
槫,15,13,0,0
樊,15,13,0,0
樒,15,13,0,0
櫁,18,13,0,0
樣,15,10,0,0
樓,15,13,0,0
橄,16,13,0,0
樌,15,13,0,0
橲,16,13,0,0
樶,16,13,0,0
橸,16,13,0,0
橇,16,13,0,0
橢,16,13,0,0
橙,16,9,0,0
橦,16,13,0,0
橈,16,13,0,0
樸,16,13,0,0
樢,15,13,0,0
檐,17,13,0,0
檍,17,13,0,0
檠,16,13,0,0
檄,17,13,2432,0
檢,17,10,0,0
檣,17,13,0,0
檗,17,13,0,0
蘗,20,13,0,0
檻,19,13,0,0
櫃,18,13,0,0
櫂,18,9,0,0
檸,18,13,0,0
檳,18,13,0,0
檬,17,13,0,0
櫞,19,13,0,0
櫑,19,13,0,0
櫟,19,13,0,0
檪,17,13,0,0
櫚,19,13,0,0
櫪,20,13,0,0
櫻,21,10,0,0
欅,21,13,0,0
蘖,20,13,0,0
櫺,21,13,0,0
欒,23,13,0,0
欖,26,13,0,0
欟,28,13,0,0
欸,11,13,0,0
欷,11,13,0,0
盜,12,10,0,0
欹,12,13,0,0
飮,13,13,0,0
歇,13,13,0,0
歃,13,13,0,0
歉,14,13,0,0
歐,15,13,0,0
歙,16,13,0,0
歔,16,13,0,0
歛,17,13,0,0
歟,17,13,0,0
歡,21,13,0,0
歸,18,13,0,0
歹,4,13,0,0
歿,8,13,0,0
殀,8,13,0,0
殄,9,13,0,0
殃,9,13,0,0
殍,11,13,0,0
殘,12,13,0,0
殕,12,13,0,0
殞,14,13,0,0
殤,15,13,0,0
殪,16,13,0,0
殫,16,13,0,0
殯,18,13,0,0
殲,21,13,0,0
殱,19,13,0,0
殳,4,13,0,0
殷,10,13,0,0
殼,12,13,0,0
毆,15,13,0,0
毋,4,13,0,0
毓,14,13,0,0
毟,8,13,0,0
毬,11,9,2431,1
毫,11,13,0,0
毳,12,13,0,0
毯,12,13,0,0
麾,15,13,0,0
氈,17,13,0,0
氓,8,13,0,0
气,4,13,0,0
氛,8,13,0,0
氤,10,13,0,0
氣,10,10,0,0
汞,7,13,0,0
汕,6,13,0,0
汢,6,13,0,0
汪,7,13,2391,0
沂,7,13,0,0
沍,7,13,0,0
沚,7,13,0,0
沁,7,13,0,0
沛,8,13,0,0
汾,7,13,0,0
汨,7,13,0,0
汳,7,13,0,0
沒,7,13,0,0
沐,7,13,0,0
泄,8,13,0,0
泱,8,13,0,0
泓,8,13,0,0
沽,8,13,0,0
泗,8,13,0,0
泅,8,13,0,0
泝,8,13,0,0
沮,8,13,0,0
沱,8,13,0,0
沾,8,13,0,0
沺,8,13,0,0
泛,7,13,0,0
泯,8,13,0,0
泙,8,13,0,0
泪,8,13,0,0
洟,9,13,0,0
衍,9,13,0,0
洶,9,13,0,0
洫,9,13,0,0
洽,9,13,0,0
洸,9,9,2430,1
洙,9,13,0,0
洵,9,9,0,1
洳,9,13,0,0
洒,9,13,2440,0
洌,9,13,0,0
浣,10,13,0,0
涓,10,13,0,0
浤,10,13,0,0
浚,10,13,0,0
浹,10,13,0,0
浙,10,13,2408,0
涎,10,13,0,0
涕,10,13,0,0
濤,17,13,0,0
涅,10,13,0,0
淹,11,13,0,0
渕,11,13,1399,0
渊,11,13,0,0
涵,11,13,0,0
淇,11,13,0,0
淦,11,13,0,0
涸,11,13,0,0
淆,11,13,0,0
淬,11,13,0,0
淞,11,13,0,0
淌,11,13,0,0
淨,11,10,0,0
淒,11,13,0,0
淅,11,13,0,0
淺,11,13,0,0
淙,11,13,0,0
淤,11,13,0,0
淕,11,13,0,0
淪,11,13,0,0
淮,11,13,0,0
